*** All items[all][total]
*** All Unique items[unique][u][all]

**Normal Uniques[u][newrow][unique]

*Helms
Biggin's Bonnet,Cap (TC 3)
Tarnhelm,Skull Cap (TC 6)
Coif of Glory,Helm (TC 12) 
Duskdeep,Full Helm (TC 15)
The Face of Horror,Mask (TC 21)
Howltusk,Great Helm (TC 24)
Wormskull,Bone Helm (TC 24)
Undead Crown,Crown (TC 30)

*Armor
Greyform,Quilted Armor  (TC 3)
Blinkbat's Form,Leather Armor (TC 3)
The Centurion,Hard Leather Armor (TC 6)
Twitchthroe,Studded Leather (TC 9)
Darkglow,Ring Mail (TC 12)
Hawkmail,Scale Mail (TC 15)
Sparking Mail,Chain Mail (TC 15)
Venom Ward,Breast Plate (TC 18)
Iceblink,Splint Mail (TC 21)
Boneflesh,Plate Mail (TC 24)
Rockfleece,Field Plate (TC 30)
Rattlecage,Gothic Plate (TC 33)
Heavenly Garb,Light Plate (TC 36)
Goldskin,Full Plate Mail (TC 39)
Silks of the Victor,Ancient Armor (TC 42)

*Shields
Pelta Lunata,Buckler (TC 3)
Umbral Disk,Small Shield (TC 6)
Stormguild,Large Shield (TC 12)
Swordback Hold,Spiked Shield (TC 12)
Steelclash,Kite Shield (TC 15)
Wall of the Eyeless,Bone Shield (TC 21)
Bverrit Keep,Tower Shield (TC 24)
The Ward,Gothic Shield (TC 30)

*Gloves
The Hand of Broc,Leather Gloves (TC 3)
Bloodfist,Heavy Gloves (TC 9)
Chance Guards,Chain Gloves (TC 12)
Magefist,Light Gauntlets (TC 21)
Frostburn,Gauntlets (TC 27)

*Boots
Hotspur,Boots (TC 3)
Gorefoot,Heavy Boots (TC 9)
Treads of Cthon,Chain Boots (TC 12)
Goblin Toe,Light Plated Boots (TC 21)
Tearhaunch,Greaves (TC 27)

*Belts
Lenymo,Sash (TC 3)
Snakecord,Light Belt (TC 9)
Nightsmoke,Belt (TC 12)
Goldwrap,Heavy Belt (TC 21)
Bladebuckle,Plated Belt (TC 27)

*Axes
The Gnasher,Hand Axe (TC 3)
Deathspade,Axe (TC 9)
Bladebone,Double Axe (TC 15)
Skull Splitter,Military Pick (TC 21)
Rakescar,War Axe (TC 27)
Axe of Fechmar,Large Axe (TC 6)
Goreshovel,Broad Axe (TC 12)
The Chieftain,Battle Axe (TC 18)
Brainhew,Great Axe (TC 24)
Humongous,Giant Axe (TC 27)

*Daggers
Gull,Dagger (TC 3)
The Diggler,Dirk (TC 9)
The Jade Tan Do,Kris (TC 18)
Spectral Shard,Blade (TC 24)

*Maces
Felloak,Club (TC 3)
Stoutnail,Spiked Club (TC 6)
Crushflange,Mace (TC 9)
Bloodrise,Morning Star (TC 15)
The General's Tan Do Li Ga,Flail (TC 21)
Ironstone,War Hammer (TC 27)
Bonesnap,Maul (TC 21)
Steeldriver,Great Maul (TC 33)

*Polearms
Dimoak's Hew,Bardiche (TC 6)
Steelgoad,Voulge (TC 12)
Soul Harvest,Scythe (TC 15)
The Battlebranch,Poleaxe (TC 21)
Woestave,Halberd (TC 30)
The Grim Reaper,War Scythe (TC 36)

*Scepters
Knell Striker,Scepter (TC 3)
Rusthandle,Grand Scepter (TC 15)
Stormeye,War Scepter (TC 21)

*Spears
The Dragon Chang,Spear (TC 6)
Razortine,Trident (TC 9)
Bloodthief,Brandistock (TC 18)
Lance of Yaggai,Spetum (TC 21)
The Tannr Gorerod,Pike (TC 24)

*Staves
Bane Ash,Short Staff (TC 3)
Serpent Lord,Long Staff (TC 9)
Spire of Lazarus,Gnarled Staff (TC 12)
The Salamander,Battle Staff (TC 18)
The Iron Jang Bong,War Staff (TC 24)

*Swords
Rixot's Keen,Short Sword (TC 3)
Blood Crescent,Scimitar (TC 6)
Skewer of Krintiz,Sabre (TC 9)
Gleamscythe,Falchion (TC 12)
Griswold's Edge,Broad Sword (TC 15)
Hellplague,Long Sword (TC 21)
Culwen's Point,War Sword (TC 27)
Shadowfang,Two-Handed Sword (TC 12)
Soulflay,Claymore (TC 18)
Kinemil's Awl,Giant Sword (TC 21)
Blacktongue,Bastard Sword (TC 24)
Ripsaw,Flamberge (TC 27)
The Patriarch,Great Sword (TC 33)

*Wands
Torch of Iro,Wand (TC 3)
Maelstrom,Yew Wand (TC 12)
Gravenspine,Bone Wand (TC 18)
